00002302_1E_L_L01_BP_S04_1200PPI_8BPC_1CH_LP05_1,00002302_08
00002302_2B_X_L01_BP_S04_1200PPI_8BPC_1CH_LP05_1,00002302_10
00002302_6C_X_199_BT_D800_1106PPI_16BPC_1CH_LP09_1,00002302_09
00002302_6C_X_199_BT_D800_1106PPI_16BPC_1CH_LP11_1,00002302_10
00002302_6C_X_200_BT_D800_1106PPI_16BPC_1CH_LP03_1,00002302_02
00002303_1F_R_L01_BP_S03_1200PPI_8BPC_1CH_LP01_1,00002303_04
00002303_1F_R_L01_BP_S03_1200PPI_8BPC_1CH_LP02_1,00002303_05
00002303_1F_R_L01_BP_S03_1200PPI_8BPC_1CH_LP03_1,00002303_01
00002303_1H_L_L01_BP_S03_1200PPI_8BPC_1CH_LP02_1,00002303_02
00002303_1H_L_L01_BP_S03_1200PPI_8BPC_1CH_LP04_1,00002303_08
00002303_1H_L_L01_BP_S03_1200PPI_8BPC_1CH_LP10_1,00002303_10
00002303_1H_R_L01_BP_S03_1200PPI_8BPC_1CH_LP06_1,00002303_06
00002303_4D_X_129_IN_D800_1109PPI_16BPC_1CH_LP02_1,00002303_10
00002303_4D_X_130_IN_D800_1109PPI_16BPC_1CH_LP01_1,00002303_05
00002303_4D_X_130_IN_D800_1109PPI_16BPC_1CH_LP04_1,00002303_08
00002303_4D_X_131_IN_D800_1109PPI_16BPC_1CH_LP01_1,00002303_07
00002303_6A_X_213_BT_D800_1430PPI_16BPC_1CH_LP06_1,00002303_01
00002303_6D_X_022_WT_D800_1109PPI_16BPC_1CH_LP02_1,00002303_09
00002303_6D_X_022_WT_D800_1109PPI_16BPC_1CH_LP07_1,00002303_07
00002304_1C_L_L01_BP_S22_1200PPI_8BPC_1CH_LP02_1,00002304_08
00002304_1C_R_L01_BP_S22_1200PPI_8BPC_1CH_LP03_1,00002304_04
00002304_1F_L_L01_BP_S22_1200PPI_8BPC_1CH_LP04_1,00002304_10
00002304_1F_R_L01_BP_S22_1200PPI_8BPC_1CH_LP03_1,00002304_03
00002304_1G_L_L01_BP_S22_1200PPI_8BPC_1CH_LP01_1,00002304_02
00002304_5A_X_647_IN_D800_1109PPI_16BPC_1CH_LP04_1,00002304_08
00002304_5A_X_647_IN_D800_1109PPI_16BPC_1CH_LP05_1,00002304_02
00002304_5A_X_648_IN_D800_1109PPI_16BPC_1CH_LP04_1,00002304_02
00002304_5A_X_648_IN_D800_1109PPI_16BPC_1CH_LP06_1,00002304_07
00002304_5A_X_648_IN_D800_1109PPI_16BPC_1CH_LP10_1,00002304_03
00002304_5A_X_648_IN_D800_1109PPI_16BPC_1CH_LP14_1,00002304_02
00002304_6C_X_222_BT_D800_1106PPI_16BPC_1CH_LP01_1,00002304_06
00002304_7D_X_064_CA_D800_1074PPI_16BPC_1CH_LP05_1,00002304_08
00002304_7D_X_065_CA_D800_1074PPI_16BPC_1CH_LP03_1,00002304_04
00002304_7D_X_065_CA_D800_1074PPI_16BPC_1CH_LP10_1,00002304_02
00002304_7D_X_066_CA_D800_1074PPI_16BPC_1CH_LP37_1,00002304_08
00002306_1F_R_L01_BP_S22_1200PPI_8BPC_1CH_LP04_1,00002306_04
00002306_1H_L_L01_BP_S22_1200PPI_8BPC_1CH_LP04_1,00002306_08
00002306_1H_R_L01_BP_S22_1200PPI_8BPC_1CH_LP01_1,00002306_04
00002306_1H_R_L01_BP_S22_1200PPI_8BPC_1CH_LP05_1,00002306_04
00002306_1H_R_L01_BP_S22_1200PPI_8BPC_1CH_LP14_1,00002306_03
00002306_1H_R_L01_BP_S22_1200PPI_8BPC_1CH_LP15_1,00002306_03
